recipe_id,recipe_name,recipe_author,recipe_prepare_time,recipe_cook_time,recipe_serving_size,recipe_dietary_info,recipe_ingredients_only,recipe_ingredients_raw,recipe_method,recipe_type,recipe_url
5569,Mutton cari,Shelina Permalloo,less than 30 mins,over 2 hours,Serves 2,"['Egg-free', 'Pregnancy-friendly']","['vegetable oil', 'onion', 'garlic', 'ginger', 'chillies', 'curry leaves', 'fenugreek', 'mutton', 'tomatoes', 'curry powder', 'coconut milk', 'fresh coriander', 'white pepper', 'plain flour', 'turmeric', 'vegetable oil', 'coconut milk', 'coriander cress']","['5 tbsp vegetable oil, or light rapeseed oil', 'Â½ onion, finely chopped', '5 garlic cloves, finely chopped', '2.5cm/1in piece fresh root ginger, grated', '2 red birdâ\x80\x99s eye chillies, finely chopped (optional)', '6 curry leaves', 'Â½ tsp fenugreek seeds', '500g/1lb 2oz mutton shoulder, cut into 2.5cm/1in cubes', 'Â½ x 400g/14oz tin plum tomatoes', '3 tbsp mild curry powder ', '200ml/7fl oz coconut milk ', '3 tbsp roughly chopped fresh coriander, plus extra to garnish', 'salt and freshly ground white pepper', '300g/10Â½oz plain flour', 'pinch salt', 'Â¼ tsp turmeric powder', '75ml/2Â½fl oz vegetable oil, plus extra for brushing', '100ml/3Â½fl oz coconut milk', '2 tbsp coriander cress']","['Start by making the mutton cari. Heat the oil in a large pan over a medium heat and gently fry the onion, garlic, ginger and chillies, if using, until soft. Add the curry leaves and fenugreek seeds and allow to pop.', 'Add the mutton and cook until evenly browned on all sides, then add the tomatoes and the curry powder and cook until it thickens. Add 100ml/3Â½fl oz water and the coconut milk. Reduce the heat, cover and leave to simmer for 2Â½â\x80\x933 hours, or until the mutton is tender. Alternatively, make this dish in a pressure cooker and cook for 30â\x80\x9345 minutes until tender.', 'To make the roti, combine all the dry ingredients in a large mixing bowl. Slowly add the oil and 100â\x80\x93150ml/3Â½â\x80\x935fl oz warm water and knead until it becomes a soft dough. Separate into 6 balls, then roll out into dinner plate-sized circles.', 'Heat a large frying pan over a high heat and brush with a small amount of vegetable oil. Add a roti into the pan and allow some bubbles to appear on the surface. Once the bubbles appear, turn the roti, brush with more oil and allow the bubbles to form again. Continue to cook and flip twice more until the roti is cooked through. Repeat with the remaining dough.', 'Taste and adjust the seasoning of the cari, adding more coconut milk to taste. Garnish with coriander and coriander cress and serve with the roti.']",Main course,www.bbc.co.uk/food/recipes/mutton_curry_56386
5570,Mutton chops with potato and turnip gratin ,Tom Kerridge,less than 30 mins,30 mins to 1 hour,Serves 6,"['Nut-free', 'Pregnancy-friendly']","['plain flour', 'eggs', 'panko breadcrumbs', 'mutton', 'mutton', 'vegetable oil', 'butter', 'lemon juice', 'sea salt', 'onions', 'cabbage', 'cabbage', 'double cream', 'floury potatoes', 'turnips', 'garlic', 'egg', 'Dijon mustard', 'red wine vinegar', 'salt', 'sugar', 'English mustard', 'smoked paprika', 'olive oil', 'capers', 'parsley', 'white pepper']","['plain flour, for dusting', '4 free-range eggs, beaten', '150g/5oz Japanese panko breadcrumbs, crushed', '12 mutton chops, French-trimmed (ask your butcher to do this for you, and keep the mutton trimmings)', 'vegetable oil, for frying', 'knob of unsalted butter ', 'squeeze lemon juice', 'sea salt flakes, to taste', '2 onions, sliced', '1 pointed cabbage (such as hispi cabbage), root removed, leaves thinly sliced', '600ml/20 fl oz double cream', '600g/1lb 5oz floury potatoes, such as Maris Piper, peeled, sliced into 2mm-thick slices using a mandoline ', '600g/1lb 5oz large turnips, sliced into 2mm-thick slices using a mandoline ', '3 garlic cloves, grated', '1 duck egg, hard-boiled and grated', '1 tbsp Dijon mustard', '1 tbsp red wine vinegar', 'Â½ tsp salt', '1 tsp sugar', '1 tsp English mustard powder', 'Â¼ tsp smoked paprika', '100ml/3Â½fl oz olive oil', '2 tbsp chopped cornichons', '2 tbsp fine capers', '1 tbsp chopped fresh flatleaf parsley', 'salt and freshly ground white pepper']","['For the mutton, sprinkle the flour onto a plate. Beat the eggs in a bowl. Sprinkle the panko breadcrumbs onto a separate plate. ', 'Dust each mutton chop first in the flour, then dip it in the egg, then roll it in the breadcrumbs until completely coated. Set aside, covered, until needed. ', 'For the potato and turnip gratin, bring the cream to the boil in a saucepan and season, to taste with salt and freshly ground white pepper. Remove the pan from the heat and set aside. ', 'Arrange alternate layers of the potato slices and turnip slices into a large ovenproof dish, sprinkling each layer with a little of the grated garlic. Make sure you slightly overlap the slices of potato and turnip in each layer.', 'Pour over the warm cream, then transfer the dish to the oven and cook for 18-20 minutes. ', 'Remove the dish from the oven and press the potato and turnip layers down using a fish slice. Return the dish to the oven and continue to cook for a further 10 minutes.', 'Repeat this process until the vegetables are tender, the cream has thickened and the top is golden-brown. Remove the dish from the oven and set aside to cool slightly.', 'Meanwhile, for the sauce gribiche, in a bowl, mix together the grated duck egg, Dijon mustard, red wine vinegar, salt, sugar, English mustard powder and smoked paprika until well combined. ', 'Gradually add the olive oil in a thin stream, stirring it into the mixture until the mixture emulsifies to a paste. Stir in the cornichons, capers and parsley and season, to taste, with salt and pepper. Set aside.', 'To cook the chops, heat the vegetable oil in a large, non-stick frying pan over a medium heat. Add the breaded mutton chops, in batches if necessary, and shallow fry for 2-3 minutes on each side, or until golden-brown on both sides. Halfway through cooking, add a knob of butter and a squeeze of lemon juice to the pan and baste the chops with the mixture. ', 'When the mutton chops are cooked to your liking, remove them from the pan and set aside to drain on an ovenproof plate lined with kitchen paper. Sprinkle with sea salt flakes and keep warm in an oven set to its lowest setting. ', 'Chop the mutton trimmings into tiny pieces, then heat a lidded saucepan over a medium heat, add the chopped mutton trimmings and dry-fry until the fat has melted and the mutton trimmings are crisp and browned. ', 'Add the onion and a pinch of salt, then cover the pan with the lid and fry for 3-4 minutes, or until the onions have softened. ', 'Add the sliced cabbage, cover again with the lid and cook for 3-4 minutes, or until the cabbage is wilted and tender. ', 'To serve, place two breaded mutton chops onto each serving plate with some cabbage. Spoon over a little of the sauce gribiche. Serve the potato and turnip gratin alongside.']",Main course,www.bbc.co.uk/food/recipes/mutton_chops_with_potato_75289
5571,Mutton saag,The Hairy Bikers,less than 30 mins,over 2 hours,Serves 6,"['Dairy-free', 'Egg-free', 'Nut-free', 'Pregnancy-friendly']","['sunflower oil', 'onions', 'cardamom', 'cumin', 'mustard seeds', 'cinnamon', 'garlic', 'chillies', 'coriander', 'turmeric', 'spinach', 'spinach', 'mutton', 'mutton', 'sea salt', 'bay leaf', 'tomato purÃ©e', 'black pepper']","['5 tbsp sunflower oil', '4 large onions, peeled and sliced', '10 cardamom pods', '1 tbsp cumin seeds', '2 tsp mustard seeds', 'Â¼ cinnamon stick', '6 garlic cloves, peeled and sliced', '2 long red chillies, sliced ', '1 tbsp ground coriander', '2 tsp ground turmeric', '500g/1lb 2oz spinach leaves (preferably not baby spinach), stalks removed, washed and drained', '900g/2lbs boneless mutton leg, cut into 4cm/1Â½in pieces (You may need to start off with a 1.7kg piece of mutton on the bone.)', '1 tsp flaked sea salt, plus extra to taste', '1 bay leaf', '2 tbsp tomato purÃ©e', 'freshly ground black pepper']","['Heat three tablspoons of the sunflower oil in a large heavy-based frying pan and cook the onions gently for 20 minutes, or until softened and golden-brown. ', 'Meanwhile place the cardamom pods in a pestle and mortar and pound lightly to split the pods. Tip onto a board and open each pod, scraping the seeds back into the mortar. Add the cumin, mustard seeds and cinnamon stick and grind into a fine, dry powder.', 'Remove half of the onions and transfer to a plate. Return the pan to the heat and stir in chillies and garlic and cook for three minutes. Add the ground spices, ground coriander and turmeric and fry, stirring constantly, for two minutes.', 'Preheat the oven to 170C/325F/Gas 3.', 'Add 300g/10z spinach to the pan and cook for 2-3 minutes. Remove from the heat, scrape into a heatproof bowl and set aside to cool. ', 'Return the pan to the heat and add one tablespoon of oil. Season the mutton all over with salt and freshly ground black pepper. Fry the mutton over a medium-high heat in 2-3 batches until nicely browned on all sides, adding a little more oil if necessary. As soon as one batch is browned, transfer to a medium flame-proof casserole while the rest is fried. ', 'Transfer the spiced onions and spinach to a food processor and blend to a thick green paste. Stir into the casserole dish with the lamb and add the bay leaf, tomato purÃ©e and 800ml/1â\x85\x93 pints cold water. Season with a teaspoon of sea salt flakes, stir well and bring to a simmer.', 'Remove from the heat and cover the surface of the curry with a piece of crumpled baking parchment. Place a lid on top of the casserole and cook in the oven for 2Â½-3 hours or until the mutton is very tender and the sauce is thick. ', 'Stir in the reserved onions and the remaining spinach. Cover with the lid and return to the oven for a further 15-20 minutes or until the onions are hot and the spinach has wilted. Serve with rice or warm naan bread.']",Main course,www.bbc.co.uk/food/recipes/mutton_saag_25343
5572,Mutton-stuffed johnny cakes with curry broth and pickle  ,Andi Oliver,overnight,over 2 hours,Serves 4,['Pregnancy-friendly'],"['thyme', 'bay leaf', 'parsley', 'spring onions', 'garlic', 'peppers', 'peppers', 'onion', 'olive oil', 'mutton', 'salt', 'butter', 'turmeric', 'black cardamom', 'cumin', 'coriander', 'star anise', 'cinnamon', 'onion', 'carrot', 'lamb stock', 'salt', 'self-raising flour', 'coconut milk', 'caster sugar', 'turmeric', 'curry powder', 'baking powder', 'salt', 'coconut milk', 'egg yolk', 'onion', 'beetroot', 'leek', 'vinegar', 'caster sugar', 'allspice', 'black peppercorns', 'olive oil']","['2 fresh thyme sprigs (about 10g)', '1 bay leaf ', '50g/1Â¾oz flatleaf parsley ', '4 spring onions, chopped', '10 garlic cloves, chopped', '1 Scotch bonnet, chopped', '6 small Caribbean seasoning peppers (or mixture red, yellow or green pimento peppers), approximately 20g/Â¾oz, chopped', 'Â½ onion, chopped ', '400ml/14fl oz olive oil', '1kg/2lb 4oz chopped mutton, on the bone', 'large pinch salt', '1â\x80\x932 tsp unsalted butter ', '1 tsp turmeric ', '1 tsp black cardamom, bashed ', '1 tsp ground cumin', '1 tsp ground coriander ', '2 star anise ', '1 cinnamon stick ', '1 onion, finely diced ', '1 Scotch bonnet, finely chopped ', '1 carrot, peeled and chopped', '1 litre/1Â¾ pints beef or lamb stock', '2 generous pinches salt ', '500g/1lb 2oz self-raising flour, plus extra for dusting', '400ml tin coconut milk', '20g/Â¾oz caster sugar (or coconut sugar) ', '1 tsp turmeric ', '1 tsp Caribbean curry powder', '4 tsp baking powder', '2 tsp salt ', '2 tbsp coconut milk', '1 free-range egg yolk, lightly beaten', '1 onion, very thinly sliced', '2 Scotch bonnets, very thinly sliced ', '1 large beetroot, peeled and very thinly sliced', 'handful green leek tops, very thinly sliced', '250ml/9fl oz white vinegar ', '300ml/Â½pt water', '20g/Â¾oz caster sugar ', '1 tsp allspice berries', '5g black peppercorns', '4 tbsp olive oil']","['To make the Antigua green seasoning, blend all of the ingredients together with a hand blender or in a food processor. Keep in a screw-top jar in the fridge.', 'To make the mutton, place the meat in a large bowl and add 3 tablespoons of the green seasoning (store any remaining seasoning back in the fridge). Season with the salt, stir to coat and leave to marinate for 2 hours in the fridge. Brown the meat in the butter until golden, for 10â\x80\x9315 minutes. Fry in batches so as not to overcrowd the pan. Then set aside for later.  ', 'To make the curry, heat a small splash of oil in a large casserole and fry the spices for a couple of minutes. Add the onion and cook until softened. Add the Scotch bonnet and gently fry for a further couple of minutes. Add the carrot and fry for few minutes. Add the browned meat and give it a good stir. Pour in the stock and add the salt. Cover and simmer for around 4 hours or until the meat is meltingly tender. Keep an eye on the levels of liquid in the pan and keep topping up so that the meat is covered. Once cooked, remove the meat with a slotted spoon, leaving the liquor behind in the pan as this will become the broth. Set the meat aside to cool completely (overnight in the fridge ideally) and then pull the meat from the bone. ', 'To make the johnny cakes, bring all of the ingredients together in a large bowl to form a soft dough. Lightly dust a work surface with flour, tip the dough out and knead gently for 2â\x80\x933 minutes. Divide into 12â\x80\x9316 even-sized pieces and roll them into rough balls. Leave on a tray and cover with a tea towel for 30 minutes. ', 'Preheat the oven to 170C/150C Fan/Gas 3. Roll out each ball of dough into a rough circle and, using a 9cm/3Â½in round cookie cutter, cut out 12â\x80\x9316 circles. Take a tablespoon of the chilled meat that you have pulled off the bone and place in the middle of each circle. Bring the dough up around the meat and pinch gently at the top to create a dumpling or patty shape. Lay on a baking tray lined with baking paper. Brush each johnny cake with a mix of the coconut milk and egg yolk and bake in middle of the oven for around 25 minutes until golden. ', 'Meanwhile, place the remaining cooking liquor from the mutton curry over a mediumâ\x80\x93high heat and gently simmer until it reduces a little. Once bubbling, turn off the heat and stir through a little butter.', 'To make the pickle, slice all the vegetables evenly and very thinly â\x80\x93 use a mandolin to make it easier but a good sharp knife will do just as well. Place all the vegetables in a saucepan and add the sugar, spices, vinegar and water. Place over a low heat and stir to dissolve the sugar for a few minutes. Set aside to cool. Blend the pickle mixture with a hand blender or in a food processor and add some oil to emulsify it. Place in a squeezy bottle. ', 'Serve the johnny cakes and broth with the pickle for squeezing over. ']",Main course,www.bbc.co.uk/food/recipes/mutton-stuffed_johnny_28895
5573,My big fat British wedding cake ,Nadiya Hussain,less than 30 mins,1 to 2 hours,Makes 1 x 20cm/8in cake,,"['butter', 'caster sugar', 'eggs', 'lemons', 'self-raising flour', 'lemons', 'caster sugar', 'lemons', 'caster sugar', 'butter', 'eggs', 'cornflour', 'butter', 'icing sugar', 'lemon', 'marshmallows', 'food colouring', 'icing sugar', 'fat', 'cornflour', 'fat', 'food colouring']","['225g/8oz unsalted butter, softened, plus extra for greasing ', '225g/8oz caster sugar ', '4 medium free-range eggs ', '3 lemons, zest only ', '225g/8oz self-raising flour ', '2 lemons, juice only', '75g/2Â½oz caster sugar', '2 lemons, juice and zest', '100g/3Â½oz caster sugar ', '50g/1Â¾oz butter ', '2 free-range eggs ', 'Â½ tbsp cornflour ', '125g/4Â½oz unsalted butter ', '250g/9oz icing sugar, sifted ', '2 tsp Sicilian lemon extract  ', '300g/10Â½oz white marshmallows', 'ivory food colouring', '550g/1lb 4oz icing sugar, sifted ', 'vegetable fat (such as Trex), for greasing', 'cornflour, for dusting', 'pearl lustre spray', 'a gold ribbon and pins to secure it in place', 'gold lustre dust ', 'rejuvenator spirit (used with the lustre dust to create edible paint)', 'a decorative jewel', '1 kg/2lb 4oz sugar flower paste', 'vegetable fat (such as Trex)', 'pink gel food colouring']","['Preheat the oven to 180C/160C Fan/Gas 4. Line and grease a 20cm/8in springform cake tin. ', 'Cream together the butter and sugar until pale and fluffy. Beat in the eggs one at a time then add the lemon zest. Mix in the flour and pour the batter into the prepared tin. Smooth the surface and bake for an hour, or until a skewer inserted into the centre comes out clean.', 'For the lemon drizzle, add the lemon juice and sugar to a saucepan and warm through. Leave to cool, then brush it over the surface of the cooked cake while it is still warm. Set aside to cool completely. ', 'For the lemon curd, whisk together all the ingredients in a saucepan. Heat gently, stirring every now and then, until thickened.  Set aside to cool completely.', 'For the lemon buttercream, beat the butter until soft and fluffly. Add the icing sugar slowly until completely combined, pale and fluffy. Stir in the lemon extract.  ', 'Slice the cake in half horizontally and fill with buttercream and lemon curd. Place on a cake board. Spoon any remaining buttercream on top of the cake and smooth it down to completely cover the cake in a smooth â\x80\x98crumb coatâ\x80\x99. It doesnâ\x80\x99t need to look great at this stage, but it is important that the top and edges are straight and smooth (so that lumps donâ\x80\x99t show through when the cake is covered with fondant icing).', 'For the marshmallow fondant, add the marshmallows, a tablespoon water and a little food colouring to a microwave safe bowl.  ', 'Heat in short bursts in a microwave on a medium heat, stirring well each time, until the marshmallows are melted. Stir in the icing sugar and mix until it forms a rough paste - donâ\x80\x99t worry if there are still lumps of icing sugar at this stage. ', 'Grease your hands and a work surface with vegetable fat. Tip out the marshmallow paste and knead until the paste is smooth. Shape it into a rough circle wrap in cling film and set aside. ', 'Dust a clean work surface and a rolling pin with cornflour and roll out the marshmallow fondant until large enough to cover the cake with some excess.', 'Lift the marshmallow fondant onto the cake and smooth the top using a fondant icing smoother if you have one, or your hands. Carefully smooth down the sides, making sure you push out any air bubbles as you go. If you have any small creases rub them out using a little cornflour. Trim off any excess icing from the bottom. ', 'If using the decorations, spray the cake with pearl lustre spray and cover the bottom edge with ribbon and secure in place. Mix 2 tablespoons of lustre dust with enough rejuvenator spirit to make a paint. Neatly brush a large gold circle on top of the cake and set aside to dry. Reserve any leftover paint.', 'To make the sugar flowers, knead the paste on a work surface greased with vegetable fat until pliable. Add a few drops of the colouring and knead until the paste is evenly coloured.', 'Cut out petal shapes and use a baller icing tool (or a round knife handle) to thin out the edges. Pull the petals together to make flowers and pinch the bottom to make them stay together. Paint the edges of the petals with gold paint. Trim off any excess from the â\x80\x98stalkâ\x80\x99 and arrange the flowers on top of the cake. ']",Cakes and baking,www.bbc.co.uk/food/recipes/my_big_fat_british_69650
5574,My big fat tipsy trifle,Lorraine Pascale,30 mins to 1 hour,no cooking required,Serves 10,"['Pregnancy-friendly', 'Vegetarian']","['loaf cakes', 'liqueur', 'strawberries', 'amaretti', 'vanilla extract', 'icing sugar', 'double cream', 'white chocolate']","['2 x ready-made Madeira loaf cakes', '150ml/5fl oz amaretto (or any strong liqueur), plus extra for flambÃ©eing ', '800g/1lb 12oz strawberries, hulled, cut in half lengthways', '250g/9oz amaretti biscuits, crumbled', 'few drops vanilla extract', '100g/3Â½oz icing sugar', '900ml/1Â½ pints double cream', '200g/7oz white chocolate, grated']","['Put the trifle dish on a large tray to make it easy to carry. Slice one of the Madeira cakes into 0.5cm/Â¼in slices and use a few of the pieces to line the bottom of the dish. (Make sure they are nice and tight and in a single layer, so push down any bits that are standing up too high.)', 'Brush the sponge with some of the amaretto. Then take a few strawberries halves that are roughly the same size and put them point upwards on the outer edge of the cake so the cut edges are pressing up against the glass. Repeat all the way round the dish. ', 'Sprinkle some crumbled amaretti biscuits on top of the sponge to a third of the way up the strawberries.', 'Place the vanilla, icing sugar and cream in a bowl and whisk until thick and well combined.', 'Spread a third of the cream on top of the strawberries and crumbled biscuits, and smooth it down with a spoon. ', 'Once the cream mixture is level in the bowl, wipe round the edge with kitchen towel. Sprinkle over with white chocolate.', 'Repeat the layering process until the bowl is full, finishing with a layer of strawberries. Chill in the fridge until ready to eat.', 'Shortly before serving, you can flambÃ© the top of the trifle. To do this, place some amaretto in a stainless steel ladle. Warm it through over low heat. Gently ignite the mixture and pour it over the trifle. (CAUTION: Keep your face and hair away from the flames. Do not leave unattended.)']",Desserts,www.bbc.co.uk/food/recipes/my_big_fat_tipsy_trifle_16006
5575,My mother’s cheese and onion pie,Simon Hopkinson,30 mins to 1 hour,30 mins to 1 hour,Serves 4,"['Egg-free', 'Nut-free', 'Pregnancy-friendly']","['butter', 'lard', 'self-raising flour', 'salt', 'butter', 'onions', 'white pepper', 'Lancashire cheese', 'milk']","['60g/2oz butter, cut into small pieces', '60g/2oz lard, cut into small pieces', '200g/7oz self-raising flour, plus extra for dusting', 'pinch salt', '25g/1oz butter', '3 onions, roughly sliced', 'salt and freshly ground white pepper ', '250g/9oz Lancashire cheese, coarsely grated ', 'milk, for sealing and glazing']","['Preheat the oven to 180C/350F/Gas 4 and place a baking tray in the oven to heat through.', 'For the pastry, place the butter and lard into a large bowl with the flour and salt. Gently rub the fat into the flour using finger tips until the texture resembles very coarse breadcrumbs. Alternatively use a food processor to bind the fat and flour.', 'Add 2-3 tbsp ice cold water to bind the mixture. Lightly knead the dough until well amalgamated, dust with flour and place into a sealable plastic bag. Chill in the fridge for 30 minutes before using. If you are in a rush, you can use the dough straightaway.', 'For the filling, heat the butter in a saucepan and fry the onions for 10 minutes, without colouring. Stir in 150ml/5fl oz water, salt and freshly ground black pepper and cook until almost all the liquid has evaporated. Remove the onions, spread out onto a plate and set aside to cool. ', 'Roll out two-thirds of the pastry until it is about 0.5cm/Â¼in thick and line a greased 20cm/8in loose-bottomed tart tin, leaving any excess pastry overhanging the edge.', 'Now roll out the remaining pastry to a similar thickness which will also be generously wide enough to use as a lid to the pie. Cover the base of the pie with half of the onions and then cover with half the grated cheese. ', 'Repeat the layering process in step 6 until all the mixture is used up. ', 'Roll out the remaining pastry to make a lid for the pie. Brush the edges of the pastry case with milk to seal the pastry lid upon it, while also pressing the edges together lightly before trimming off any excess overhang. Brush the surface of the pie with milk. Make three small incisions into the centre of the pie using the point of a sharp knife and, if you wish, further decorate to make a lattice effect. ', 'Place the pie into the oven and bake for 40-50 minutes, or until golden-brown. Remove from the oven and leave for a good 20-30 minutes before un-moulding and cutting into generous wedges. ', 'Serve the pie warm or at room temperature (not piping hot).']",Main course,www.bbc.co.uk/food/recipes/my_mothers_cheese_and_42949
5576,‘Marry me’ butter bean pasta,Briony May Williams,less than 30 mins,10 to 30 mins,Serves 4,"['Egg-free', 'Healthy', 'Nut-free', 'Pregnancy-friendly']","['rigatoni', 'butter beans', 'smoked paprika', 'lemon juice', 'herbs', 'onion', 'Parmesan', 'rapeseed oil', 'sun-dried tomatoes', 'black pepper', 'basil', 'Parmesan']","['400g/14oz dried pasta, such as rigatoni', '400g tin butter beans, drained', '2 tsp smoked paprika', '2 tbsp lemon juice', '2 tsp mixed herbs', '1 tsp onion granules', '2 tbsp finely grated Parmesan', '1 tbsp rapeseed oil', '4 sun-dried tomatoes, chopped', 'sea salt and freshly ground black pepper ', 'handful fresh basil, left whole', 'grated Parmesan, to taste']","['Cook the pasta according to packet instructions. Once cooked, drain the pasta, reserving a mug of the pasta water. Set aside.', 'To make the marry me butter bean sauce, place the butter beans, smoked paprika, lemon juice, mixed herbs, onion granules, grated Parmesan, rapeseed oil, a pinch of salt and pepper and half the reserved pasta water in a blender (or in a bowl and use a stick blender) and blitz until smooth. ', 'Stir the sauce and sun-dried tomatoes through the cooked pasta and heat over a medium heat until warmed through for a minute or so, add the rest of the pasta water to loosen the sauce if needed. ', 'Serve topped with fresh basil and grated Parmesan.']",Main course,www.bbc.co.uk/food/recipes/marry_me_butter_bean_85858
5577,'Nduja pizza,James Martin,overnight,less than 10 mins,Makes 4 large pizzas,['Egg-free'],"['semolina', 'flour', 'caster sugar', 'salt', 'yeast', 'tomatoes', 'mozzarella', 'basil', 'peanut oil']","['200g/7oz semolina flour', '800g/1lb 12oz type â\x80\x9800â\x80\x99 flour, plus extra for dusting', '1 tbsp caster sugar', '1 tsp salt', '650ml/1 pint 3fl oz tepid water', '1 x 7g sachet fresh yeast ', '1 x 400g can plum tomatoes, preferably San Marzano', '400g/14oz crumbly sheepsâ\x80\x99 cheese (alternatively try shavings of manchego or torn mozzarella)', '300g/11oz â\x80\x99nduja (soft spicy Italian sausage)', '1 large handful fresh basil leaves', '1 tbsp peanut oil (optional)']","['For the pizza dough, sift the flours, sugar and salt into a large bowl and mix well.', 'Mix the yeast and a splash of the water to a paste in a small jug.', 'Make a well in the centre of the dry ingredients and add the yeast paste. Gradually pour over the rest of the tepid water, bringing the dry ingredients into the centre a little at a time, until the mixture comes together as a soft dough.', 'Turn the dough out onto a lightly floured work surface and knead for 5-10 minutes, until smooth and elastic. Place the dough into a large, clean bowl and cover with a damp, clean tea towel. Set aside in a warm room to prove for 1Â½ hours.', 'When the dough has almost doubled in size, knock it back by punching and kneading it a little, then divide it into four equal balls. ', 'Place the dough balls onto a lightly greased baking tray, spaced well apart, and cover with a lightly greased sheet of cling film. Set aside to prove again, for at least four hours (in a warm room) or overnight (in the fridge). ', 'When the dough balls have doubled in size again, preheat the oven to its highest setting. Place a heavy baking tray or pizza stone into the oven to heat up with it. ', 'Roll one of the dough balls out onto a lightly floured work surface to a 0.5cm/Â¼in thickness. Sprinkle a little flour onto an upturned baking tray and transfer the pizza base onto it.  ', 'For the topping, blend the canned tomatoes to a purÃ©e in a food processor. Spoon some of the mixture into the centre of the pizza base, spreading it almost to the edges.', 'Sprinkle some of the sheepsâ\x80\x99 cheese, â\x80\x99ndjua and basil leaves onto the pizza, then drizzle over the peanut oil, if using. ', 'Working as quickly as possible, scoot the pizza into the oven by pushing it from the upturned tray onto the pizza stone or hot baking tray. Cook for 5-8 minutes, or until the base is cooked through, the cheese has melted and the tomatoes are bubbling. ', 'Meanwhile, repeat the process with the remaining three pizza bases and the remaining topping, serving each pizza immediately.']",Main course,www.bbc.co.uk/food/recipes/nduja_sausage_and_sheeps_56588
5578,'Nduja stuffed chicken with romesco sauce and flatbreads,Shauna Froydenlund,1-2 hours,1 to 2 hours,              2-4,,"['rapeseed oil', ""'nduja"", 'shallot', 'garlic', 'tomato purÃ©e', 'honey', 'sherry vinegar', 'rapeseed oil', 'chicken', 'broccoli', 'rapeseed oil', 'peppers', 'almonds', 'chopped tomatoes', 'sherry vinegar', 'sea salt', 'self-raising flour', 'yoghurt', 'parsley', 'spring onions']","['1 tbsp rapeseed oil ', ""50g/1Â¾oz 'nduja "", '1 shallot, finely chopped', '2 garlic cloves, finely chopped ', '1 tbsp tomato purÃ©e ', '50g/1Â¾oz runny honey ', '1 tbsp sherry vinegar ', '80ml /2Â½fl oz rapeseed oil ', '1 medium free-range range chicken ', '400g/14oz Tenderstem broccoli', '1 tbsp rapeseed oil ', '2 red peppers, thickly sliced ', '100g/3Â½oz almonds ', '400g tin chopped tomatoes ', 'sherry vinegar,  to taste ', 'sea salt ', '250g/9oz self-raising flour ', '25g/1oz plain yoghurt ', '1 tsp salt ', '100ml/3Â½fl oz lukewarm water ', '2 tbsp flatleaf parsley leaves ', '4 spring onions, chopped']","[""To make the 'nduja  paste, put the rapeseed oil in a pan and fry the 'nduja over a medium-high heat until caramelised. Reduce the heat and add the shallot, garlic and tomato purÃ©e and cook until the vegetables are softened. Allow to cool slightly."", 'Transfer to a blender or food processor with the honey, sherry vinegar and remaining rapeseed oil and blend until smooth. Spoon the paste into a piping bag, or sandwich bag with the corner snipped off, and set aside.  ', 'Preheat the oven to 220C/200C Fan/Gas 7.', ""For the chicken, gently slide your hands under the skin, loosening it from the flesh. Pipe two thirds of the 'nduja paste under the skin and smooth out so itâ\x80\x99s evenly distributed. Reserve the remaining mix to glaze the chicken later. "", 'Drizzle the outside of the bird with the oil, and sprinkle generously with sea salt. Scatter the almonds and peppers in a deep roasting tin, place the chicken on top and roast for 40 minutes.', 'Meanwhile, to make the flatbreads, put the flour, salt and yoghurt into a mixing bowl and slowly add the water to make a soft, slightly sticky dough. Turn out onto a lightly floured work surface and knead for 5 minutes, or until smooth and elastic. Put back in the bowl, cover with cling film and leave to rest for about an hour.', ""Remove the chicken from the oven, reduce the temperature to 190C/170C Fan/Gas 5. Brush the chicken with the remaining 'nduja paste and return to the oven for 15â\x80\x93 20 minutes until cooked through and the juices run clear.  "", 'Remove the chicken from the tray and leave to rest for 15 minutes, covered, before carving. ', 'Put the broccoli onto a baking tray and roast in the oven for 10â\x80\x9315 minutes.', 'Pour the nuts, pepper and all the chicken juices into a hot pan, add the chopped tomatoes and cook for a few minutes until thickened. Transfer to a blender and blitz to a rough sauce. Season with salt and sherry vinegar.  ', 'Once the flatbread dough has rested, tear into four even-sized balls, lightly dust the surface with flour and roll into evenly sized circles, about as thick as a pound coin.', 'Place a frying pan on a medium heat, add the flatbread and gently cook until evenly coloured on both sides. They will start to bubble and rise slightly as they cook. ', 'To serve, generously cover the flatbread with the romesco sauce. Remove one of the breasts from the chicken and thickly slice, place on top. Scatter over the parsley leaves and spring onions and serve straight away.']",Main course,www.bbc.co.uk/food/recipes/nduja_stuffed_chicken_23098
